image_id,file_name,ann_id,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,iscrowd,segmentation_type,hsv_color,color_dominance,verified_color
313176,000000313176.jpg,2272,150,bread,0.53,2.73,638.79,473.63,207658.92,0,polygon,orange,0.924511,brown
80357,000000080357.jpg,2356,183,cake,155.75,47.84,355.81,299.82,72906.73,0,polygon,orange,0.947657,brown
78023,000000078023.jpg,5776,445,fireplug,21.89,233.29,237.3,384.48,42950.98,0,polygon,gray,0.924987,white
193720,000000193720.jpg,7727,698,monitor,301.61,127.43,261.61,273.18,49806.54,0,polygon,gray,0.918802,white
245659,000000245659.jpg,22649,1097,toilet,106.01,162.26,196.05,356.19,50247.57,0,polygon,orange,0.996477,white
71920,000000071920.jpg,25627,1133,umbrella,70.06,60.46,269.3,153.36,22445.2,0,polygon,purple,0.974745,purple
404785,000000404785.jpg,26968,1097,toilet,296.9,382.57,115.39,216.06,19490.86,0,polygon,orange,0.989728,white
21023,000000021023.jpg,30490,1139,vase,246.11,327.76,166.04,258.38,33547.81,0,polygon,blue,0.934807,blue
1592,000000001592.jpg,31318,1133,umbrella,46.22,71.68,341.5,152.19,27734.01,0,polygon,red,0.924629,red
126941,000000126941.jpg,32715,1097,toilet,98.06,325.42,166.01,314.58,41152.04,0,polygon,gray,0.966126,white
169858,000000169858.jpg,38853,45,banana,253.15,95.25,226.85,544.75,71136.01,0,polygon,yellow,0.958234,yellow
99828,000000099828.jpg,39043,1050,table,27.86,264.69,584.81,153.42,58568.14,0,polygon,gray,0.927054,white
128392,000000128392.jpg,40686,1097,toilet,0.0,485.68,149.45,142.77,15296.35,0,polygon,orange,0.934311,white
278961,000000278961.jpg,46121,1097,toilet,134.75,161.04,207.77,416.66,70008.96,0,polygon,gray,0.996558,white
455946,000000455946.jpg,48859,387,doughnut,231.58,289.8,268.49,267.03,56492.99,0,polygon,orange,0.958256,brown
388298,000000388298.jpg,49932,1097,toilet,43.3,181.23,168.22,269.51,24215.32,0,polygon,blue,0.965242,white
124215,000000124215.jpg,56353,296,keyboard,0.16,62.93,264.66,310.35,56404.07,0,polygon,black,0.949042,black
