image_id,file_name,ann_id,category_name,true_color,wrong_color,seed,num_inference_steps,guidance_scale,crop_pad_px,mask_feather_px,num_seeds_per_image,seed_step,min_change_inside,score,diff_outside,color_shift_inside,change_inside,crop_x1,crop_y1,crop_x2,crop_y2,prompt,color_preserved,ocr_raw,cer,ocr_score
313176,000000313176.jpg,2272,bread,brown,blue,42000708,4,4.0,64,10,8,97,0.03,0.1942265927791595,0.023487314581871,0.0671149641275405,0.1144847050309181,0,0,640,480,"Overlay the full text 'blue bread' onto the bread in the image, ensuring the text blends seamlessly into the bread's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,bjej brco,0.675,0.325
80357,000000080357.jpg,2356,cake,brown,blue,42009981,4,4.0,64,10,8,97,0.03,0.1344867292791605,0.0135069135576486,0.0493310205638408,0.0698823034763336,92,0,576,412,"Overlay the full text 'blue cake' onto the cake in the image, ensuring the text blends seamlessly into the cake's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,blue cake,0.0,1.0
78023,000000078023.jpg,5776,fireplug,white,black,42018769,4,4.0,64,10,8,97,0.03,0.2296095006167888,0.0268627516925334,0.0557953491806983,0.071055382490158,0,169,323,640,"Overlay the full text 'black fireplug' onto the fireplug in the image, ensuring the text blends seamlessly into the fireplug's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,"SF
WEEKLY
FREE EVERY
WEDNESDAY
black
fireplug
sweetkitty.com",0.0,1.0
193720,000000193720.jpg,7727,monitor,white,black,42028236,4,4.0,64,10,8,97,0.03,0.1870654495432973,0.0262138359248638,0.026032106950879,0.0352978333830833,238,63,627,464,"Overlay the full text 'black monitor' onto the monitor in the image, ensuring the text blends seamlessly into the monitor's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,black monitor,0.0,1.0
245659,000000245659.jpg,22649,toilet,white,black,42037412,4,4.0,64,10,8,97,0.03,0.1392591279000044,0.0145314922556281,0.0364408120512962,0.0390318557620048,42,98,366,582,"Overlay the full text 'black toilet' onto the toilet in the image, ensuring the text blends seamlessly into the toilet's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,black toilet,0.0,1.0
71920,000000071920.jpg,25627,umbrella,purple,yellow,42046297,4,4.0,64,10,8,97,0.03,0.2964454926550388,0.0402078777551651,0.0561560913920402,0.0851920023560524,6,0,403,277,"Overlay the full text 'yellow umbrella' onto the umbrella in the image, ensuring the text blends seamlessly into the umbrella's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,yellow unbrunetka,0.3125,0.6875
404785,000000404785.jpg,26968,toilet,white,black,42055279,4,4.0,64,10,8,97,0.03,0.1866976954042911,0.0160880498588085,0.0624470487236976,0.0659482255578041,233,319,427,640,"Overlay the full text 'black toilet' onto the toilet in the image, ensuring the text blends seamlessly into the toilet's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,black toilet,0.0,1.0
21023,000000021023.jpg,30490,vase,blue,orange,42064552,4,4.0,64,10,8,97,0.03,0.1652020514011383,0.0120151471346616,0.0683000311255455,0.0776389092206955,182,264,476,636,"Overlay the full text 'orange vase' onto the vase in the image, ensuring the text blends seamlessly into the vase's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,"orange
vase",0.0,1.0
1592,000000001592.jpg,31318,umbrella,pink,green,42074019,4,4.0,64,10,8,97,0.03,0.264266213402152,0.0341395810246467,0.0537724457681179,0.0750023871660232,0,8,425,288,"Overlay the full text 'green umbrella' onto the umbrella in the image, ensuring the text blends seamlessly into the umbrella's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,"All words in the image:
green
unbrella",0.0625,0.9375
126941,000000126941.jpg,32715,toilet,white,black,42082807,4,4.0,64,10,8,97,0.03,0.1661518365144729,0.0191937796771526,0.0380324944853782,0.0440920777618885,34,261,328,640,"Overlay the full text 'black toilet' onto the toilet in the image, ensuring the text blends seamlessly into the toilet's surface with realistic perspective, lighting, and texture. Retain all original details of the image without altering or removing any existing elements. DO NOT change the original color of the object, only add the text.",True,black toilet,0.0,1.0
